,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,2,0.0,0.6340961738158,0.6216265406084938,0.5204463224294718
1,4,,0.6329791483582328,0.7888166301954839,0.51972933515751
2,6,0.4443653618030842,0.784978026368358,0.8357755294111959,0.7631969166628328
3,8,0.43276762402088775,0.7813873571485654,0.8338283619626989,0.7583943643103997
4,10,0.44769650914272147,0.7840500359683479,0.8349341112029517,0.763071518865864
5,12,,0.7809976816691981,0.8324452290424584,0.7581023541957445
6,14,0.43760399334442596,0.782861597505397,0.8343861941507423,0.7603911588868084
7,16,0.4335909631391201,0.7826069572171133,0.8337014932788264,0.758939867257476
8,18,0.43433261955745894,0.7834319763256818,0.834710871858427,0.7602002326897368
9,20,0.45905736729350155,0.7895968322534197,0.8400758969622626,0.7693890661251885
10,22,0.4337937604191474,0.7805424433954716,0.8330619430696855,0.7573229798277861
11,24,0.4370383607338575,0.784428262783068,0.8366828401575375,0.7619164605867812
12,26,0.4567342073897497,0.7906362545018008,0.840238549114268,0.7703195329980466
13,28,0.45045313617934657,0.7852197230449052,0.8353681418553616,0.7638033778272733
14,30,0.4507874015748032,0.7891882155151709,0.8385639586436967,0.7681291683661902
15,32,0.4600740033420864,0.7940187364881095,0.841655974516874,0.7738001000146689
16,34,,0.7904020180988228,0.8386414152123449,0.7701926821897087
17,36,0.4755077658303465,0.7963756507809371,0.8429622178174971,0.7782593272384621
18,38,0.4533827396605307,0.7890130577585516,0.8380933431825349,0.7679379052302944
19,40,0.45336044008610377,0.7876572390032851,0.8383713437997666,0.7675070477094952
20,42,0.45585068198133527,0.7875230387050245,0.836098238937671,0.767300742987339
21,44,0.45535073018913097,0.7888715236034303,0.8373283236305309,0.7686715231177621
22,46,0.4587425149700599,0.7886773547094189,0.8373385862241938,0.7676933147622593
23,48,,0.7919105267377535,0.8390504643311272,0.7720166424648767
24,50,0.47416686645888273,0.7954454334055008,0.840601778667376,0.7762174882532507
25,52,0.472115615255457,0.7952722752426016,0.8430570222961671,0.7771037526941851
26,54,0.4625629949604032,0.7909079971123767,0.8376634254516842,0.7706863869352771
27,56,0.47100840336134453,0.7947853991175291,0.840551178211197,0.7755566800320953
28,58,0.45177756425654575,0.7874709139051592,0.8368815384158266,0.7664906862862012
29,60,0.47086037010334053,0.7978693523794238,0.8450094906784552,0.7793070923900858
30,62,,0.7931816357653103,0.8411288853245125,0.7743532127924125
31,64,0.47450084195333175,0.7968812715742153,0.843515279418893,0.7782662256794659
32,66,0.44891696750902527,0.7874347651545563,0.8364809574955296,0.7654706202849275
33,68,0.49175294967493377,0.801814823737252,0.8454987295338218,0.7852211992910889
34,70,0.4618164297759576,0.792787727893342,0.840184772734431,0.7727104596486694
35,72,0.47167992287298144,0.7984376255120893,0.8446488041954953,0.779690157042194
36,74,0.47498191463708705,0.7968787659677031,0.8418554180705682,0.7781886367383066
37,76,0.4574185765983112,0.790498192044998,0.8393019374512634,0.7708119127691176
38,78,0.48684528119720005,0.8013541750381741,0.8444418906632684,0.7832466867678084
39,80,,0.7939273370307853,0.8394313145382981,0.774646818708713
40,82,0.46351775791253924,0.7911005707854329,0.8399415282989662,0.7713818308041342
41,84,0.4948634276045443,0.8023639141272011,0.8451820238148362,0.7851508486625305
42,86,0.46783555018137846,0.7930639324487334,0.8404389427179498,0.7737382282721487
43,88,0.5054439874183402,0.8058594064184027,0.8480364340267847,0.7895956462661348
44,90,0.4888646816751392,0.8026104094602204,0.8455801757215511,0.7850772481471872
45,92,,0.7993000241370987,0.8431186088660242,0.7823910100304576
46,94,0.4937606009207657,0.8040154502293394,0.8456610060855226,0.7866774863110886
47,96,0.4795757575757576,0.7975050301810865,0.8429836071583672,0.7797111950692115
48,98,,0.8059446188521291,0.8472469378579995,0.7894383692664196
49,100,0.4962387769958748,0.8036792528781902,0.8461217765873448,0.7867597957463104
50,102,0.47851420247632925,0.7983130686850792,0.8423441202571833,0.7798568082521914
51,104,0.5138450327908671,0.809313843923653,0.8502297845495511,0.7942710269724407
52,106,,0.8039065646395489,0.8453753678247209,0.7870028380111767
53,108,0.5094213469486992,0.8087287521147184,0.8504093091763095,0.7929227647291318
54,110,0.5379469715397713,0.8174804608814761,0.8522869130471514,0.8032070215148217
55,112,0.5203212460452664,0.8116689499556773,0.8507076971024495,0.7964098557349458
56,114,0.5017652787923058,0.8052510679455147,0.8458091676771982,0.7883550614888258
57,116,0.4951887941534714,0.80453446191052,0.8463629915680894,0.7877487852041525
58,118,0.510297343407263,0.811154559380795,0.8507118345355906,0.7951112711996321
59,120,0.5191416727627408,0.8139262962664301,0.8520238372632758,0.7983848724243361
60,122,0.5300073188582581,0.818009516896524,0.8544089978247427,0.803426154209914
61,124,0.5330729802294362,0.8150358957812374,0.8516623621092749,0.8004708630040908
