,New_Attack_Training_Points,New_Attack_Recall,Model_Accuracy,Model_Precision,Model_F1
0,1,0.14791666666666667,0.9776313238999806,0.9785991203698752,0.9699898810813876
1,2,0.5809682804674458,0.9873614018764053,0.9876527318867147,0.986152986723214
2,3,0.5948996655518395,0.9883592447563292,0.9904157792700712,0.9881199797522823
3,4,0.6846733668341709,0.990103520471464,0.9904214356506396,0.9895270018635611
4,5,0.8204697986577181,0.9928754216587181,0.9930903972160107,0.9926638471391434
5,6,0.8138655462184874,0.9934373788290035,0.9935386441495333,0.9932457416438181
6,7,0.5273569023569025,0.9860114777618364,0.9873038316317415,0.9848727053699513
7,8,0.8267284991568297,0.9931751202109508,0.993046582136896,0.9928458541089433
8,9,0.8488175675675675,0.9942509791755535,0.9964276618351284,0.9951789278148855
9,10,0.8240270727580372,0.9939211199875901,0.994245345165887,0.993804878409794
10,11,0.9398305084745763,0.9957630405274384,0.9956700831873497,0.9956477241497901
11,12,0.9401528013582343,0.996092538008067,0.9961448715776406,0.9960580164939197
12,13,0.8184523809523809,0.9931253151301245,0.9932062677398956,0.992899543379846
13,14,0.9378194207836457,0.9958595143898844,0.9960869770177612,0.9959196253822374
14,15,0.8877986348122867,0.9951223769442613,0.9951106734941662,0.9950160099573432
15,16,0.9829059829059829,0.9973525989138867,0.9975083854446412,0.9974121377316347
16,17,0.8647260273972602,0.9941328212886458,0.9939640165066871,0.9939005860920642
17,18,0.902229845626072,0.9956067189075957,0.9957898578869306,0.9956084800328175
18,19,0.9737972508591064,0.997129223726578,0.9971536315093072,0.9971131785871147
19,20,0.9896729776247849,0.9975752638112974,0.9977700484980845,0.9976565242902523
20,21,0.9827586206896551,0.9971387002909796,0.9971437355759255,0.9971271057796033
21,22,0.9624352331606219,0.9968960968417785,0.9970230501036391,0.9969284613096552
22,23,0.9325259515570934,0.9958968688162031,0.9961161757565862,0.9959474915220692
23,24,0.9826689774696707,0.9971965699208443,0.997276102011587,0.9972156857418132
24,25,0.9826388888888888,0.9971091536998953,0.997467912244583,0.997272388654265
25,26,0.8904347826086957,0.9953531237873496,0.9953399527732418,0.99524247349639
26,27,0.9804006968641116,0.9970507198571927,0.9969803641987269,0.9969984461772171
27,28,0.9777486910994764,0.9967498447687053,0.9971233560324541,0.9968456766301207
28,29,0.9825174825174825,0.9971960259246323,0.9972931489308711,0.997206384903232
