duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,attack
13,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,88,42,0.0,0.0,0.0,0.0,0.03409090909090909,0.0,0.0,0.0,cryptomining
12,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79,38,0.0,0.0,0.0,0.0,0.0379746835443038,0.0,0.0,0.0,cryptomining
12,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cryptomining
12,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,34,0.0,0.0,0.0,0.0,0.04225352112676056,0.0,0.0,0.0,cryptomining
12,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,72,34,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,cryptomining
10,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cryptomining
10,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,94,45,0.0,0.0,0.0,0.0,0.031914893617021274,0.0,0.0,0.0,cryptomining
10,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,62,29,0.0,0.0,0.0,0.0,0.04838709677419355,0.0,0.0,0.0,cryptomining
14,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,35,0.0,0.0,0.0,0.0,0.0410958904109589,0.0,0.0,0.0,cryptomining
12,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,96,46,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,cryptomining
10,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,21,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,cryptomining
11,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,8,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,cryptomining
10,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,19,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,cryptomining
12,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,18,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,cryptomining
10,tcp,dce_rpc,RSTO,140,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,47,0.0,0.0,0.0,0.0,0.030927835051546393,0.0,0.0,0.0,cryptomining
12,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35,16,0.0,0.0,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,cryptomining
10,tcp,"ntlm,dce_rpc",SF,487,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,98,47,0.0,0.0,0.0,0.0,0.030612244897959183,0.0,0.0,0.0,cryptomining
